"","statement.ID","Date","document.ID","document.title","Text","Speaker","Party","Renewables","Solar","Water","Wind","Geo","Bio","Efficiency","Nuclear","Environmental Protection","Security of Electricity Supply","Avoidance of Dependencies","Costs of Electricity","Cheaper RE Technology","Competitiveness of Industry","Value Chain","Innovation","Employment","Export","Energy Democracy","Climate Change Mitigation","Pollution Reduction","Mitigation of Nuclear Risk","Substitution of Limited Resources","Sector Coupling","Grid Extension","Energy Storage","Increase of Actor Variety","Costs for Consumers","Costs for Households","Costs for Industry","Employment in RE Sector","Employment not related to RE Sector","Employment in Solar Industry"
"1",8,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Aber wir sollten es so ausgestalten, daß sich die
EU darüber nicht ernsthaft beschweren wird und daß wir
die Technikverbilligung, die wir anstreben, in Rechnung
stellen.","Werner Müller","SPD","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",1420,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Selbst zu den von Ihnen als offensichtlich eher lächerlich
empfundenen 10 Prozent haben Sie auch heute
morgen nicht einen einzigen Satz gesagt, wie sie denn
ersetzt werden sollen.","Kurt-Dieter Grill","CDUCSU","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",47,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Die zentrale Frage bezieht sich nicht auf die 10 oder
90 Prozent, sondern darauf, wie Sie 22 000 Megawatt
Kernenergie im Grundlastbereich ersetzen wollen. Wir
müssen die Gewichtung in der Fragestellung wieder ein
wenig zurechtrücken.
(Beifall bei Abgeordneten der CDU/CSU und
der F.D.P.)
Ich denke, daß Sie die Antwort darauf auch heute wieder
schuldig geblieben sind.","Kurt-Dieter Grill","CDUCSU","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",46,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Nach allen Unterlagen der
wissenschaftlichen Institutionen dieses Landes, nach
allen Untersuchungen, die gemacht worden sind, erhöht der klimaneutrale
Ausstieg aus der Kernenergie die Energiekosten auf
20 Milliarden pro Jahr, bezogen auf das Jahr 2020.
Wir reden also über ein Kostenvolumen in Höhe von
350 bis 450 Milliarden. Diese Größenordnung geben
nahezu alle Studien dieses Landes an. Auf diese
Fragen haben Sie auch nur den
Hauch einer Antwort gegeben.","Kurt-Dieter Grill","CDUCSU","0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5",11,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Mit dem, was Sie vortragen, können Sie
auch die Frage nicht beantworten, wie der Stromproduktionsstandort
Deutschland erhalten werden soll. Das,
was Sie hier vorgetragen haben, führt eher dazu, daß wir
auch hier Arbeitsplätze ins Ausland verlagern.
Auch das Gesetz zur Förderung der Stromerzeugung
aus erneuerbaren Energien, das Sie am heutigen Tage
dem Hause vorlegen, ist keine Antwort auf diese Frage.","Kurt-Dieter Grill","CDUCSU","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",1421,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Mit dem, was Sie vortragen, können Sie
auch die Frage nicht beantworten, wie der Stromproduktionsstandort
Deutschland erhalten werden soll. Das,
was Sie hier vorgetragen haben, führt eher dazu, daß wir
auch hier Arbeitsplätze ins Ausland verlagern.
Auch das Gesetz zur Förderung der Stromerzeugung
aus erneuerbaren Energien, das Sie am heutigen Tage
dem Hause vorlegen, ist keine Antwort auf diese Frage.","Kurt-Dieter Grill","CDUCSU","0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",13,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wieso machen
Sie eigentlich der deutschen Bevölkerung vor, daß
der Anteil der erneuerbaren Energien an der Stromerzeugung
in Höhe von 10 Prozent die Kernenergie ersetzen könne? Das ist der Eindruck, den Sie draußen erwecken.
Dies hält einer Prüfung nicht stand.","Kurt-Dieter Grill","CDUCSU","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1667,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Im übrigen will ich nur darauf hinweisen: Den Weltmeistertitel
in Sachen Windenergie und den Weltmeistertitel
in Sachen Solarzellenproduktion haben nicht Sie
errungen, sondern den haben Sie von der CDU/CSU/
F.D.P.-Koalition übernommen.","Kurt-Dieter Grill","CDUCSU","0",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",1668,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Im übrigen will ich nur darauf hinweisen: Den Weltmeistertitel
in Sachen Windenergie und den Weltmeistertitel
in Sachen Solarzellenproduktion haben nicht Sie
errungen, sondern den haben Sie von der CDU/CSU/
F.D.P.-Koalition übernommen.","Kurt-Dieter Grill","CDUCSU","0",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",1422,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Sie versagen in der Sicherung der Arbeitsplätze in
Deutschland.","Kurt-Dieter Grill","CDUCSU","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",1423,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Der Übergang von der
Monopolwirtschaft zum Wettbewerb bedeutet, daß alle
umdenken müssen, nicht nur die Unternehmen, sondern
auch die Politik.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",14,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","In diesem neuen Rahmen werden die Leitlinien und
die Ziele der rotgrünen Bundesregierung und der Koalitionsfraktionen
immer deutlicher: Wir sind für eine
Energieversorgung, die umweltfreundlich ist.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",16,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","In diesem neuen Rahmen werden die Leitlinien und
die Ziele der rotgrünen Bundesregierung und der Koalitionsfraktionen
immer deutlicher: Wir sind für eine
Energieversorgung, die wirtschaftlich
und eben auch verbraucherfreundlich ist.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",49,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wir wollen, daß auch neue Akteure und kleine Kunden
gleiche Chancen im Wettbewerb bekommen, und wir wollen, daß zwischen Ost und West kein geteiltes
Recht vorherrscht.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",50,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Jetzt werden wir uns Schritt für Schritt daranmachen,
im neuen energiewirtschaftlichen Rahmen dafür zu sorgen,
daß die Energieversorgung nicht nur wirtschaftlich
ist, sondern daß sie auch umweltverträglich ist.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",52,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Unsere Energieversorgung muß risiko- und fehlerarm
sein, und sie muß auch umweltverträglich sein.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"17",53,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wir realisieren jetzt Schritt für Schritt tatsächlich den
Einstieg in eine andere, eine umweltverträgliche Energiepolitik.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",1426,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Ich kann nur eines sagen: Dieses Gesetz ist außerordentlich
wirtschaftlich.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",28,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wir haben damit die
Umsetzung der Innovationseffekte in das Stromeinspeisungsgesetz
eingeschlossen.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",54,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Ich sage Ihnen eines: Aus unserer Sicht ist es absolut
vertretbar, daß angesichts sinkender Strompreise in Höhe
von bis zu 10 Pfennig 0,1 Pfennig für eine stärkere Energieerzeugung ausgegeben werden.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",32,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Ich sage Ihnen eines: Aus unserer Sicht ist es absolut
vertretbar, daß angesichts sinkender Strompreise in Höhe
von bis zu 10 Pfennig 0,1 Pfennig für 40 000 Arbeitsplätze ausgegeben werden.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",33,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Ich sage Ihnen eines: Aus unserer Sicht ist es absolut
vertretbar, daß angesichts sinkender Strompreise in Höhe
von bis zu 10 Pfennig 0,1 Pfennig für eine stärkere
umweltverträgliche Energieerzeugung ausgegeben werden.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",34,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Ich sage Ihnen eines: Aus unserer Sicht ist es absolut
vertretbar, daß angesichts sinkender Strompreise in Höhe
von bis zu 10 Pfennig 0,1 Pfennig für eine
Exportindustrie ausgegeben werden, die einen boomenden
Zukunftsmarkt in den Entwicklungsländern bedeutet.","Michaele Hustedt","Die Grünen","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",38,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Was aber bedeutet dies für die Stromversorgung? Etwa
ein Drittel der deutschen Stromversorgung und in manchen Bundesländern sogar
50 Prozent muß bis 2018 kompensiert
werden. Das vorliegende Stromeinspeisungsgesetz
suggeriert, daß sie dies mit erneuerbaren Energien schaffen könnten.
Das ist schon ein ehrgeiziges Ziel!","Ulrike Flach","FDP","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",1429,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wie also wollen Sie die
Grundlast dieses Landes abdecken?","Ulrike Flach","FDP","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",1430,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Ich habe in den letzten Tagen sehr aufmerksam die
Aussagen von SPD und Grünen verfolgt: wenige Worte zur Erhöhung der Energieeffizienz, kein
Wort zum Thema Energieeinsparung, kein Wort zur
Frage, wie das fehlende Drittel ersetzt werden soll. Sie
führen uns hochangereicherte Unseriösität vor.","Ulrike Flach","FDP","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",40,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wie soll dies regenerativ ersetzt werden?","Ulrike Flach","FDP","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",55,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wollen Sie
Nordrhein-Westfalen in die Abhängigkeit ausländischer
Gaslieferanten bringen?","Ulrike Flach","FDP","0",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",43,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Das Energieland Nordrhein-
Westfalen mit immerhin 83 000 Beschäftigten ist unmittelbar
von dieser grünroten Energiewende betroffen.","Ulrike Flach","FDP","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",44,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Liebe Kolleginnen und Kollegen, Sie führen Deutschland
nicht in eine grünrote Energiewende, sondern sie
taumeln haltlos in den Verlust eines Drittels unserer
Energieversorgung.","Ulrike Flach","FDP","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"31",58,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Meine Damen und Herren, wir brauchen ein geschlossenes
Konzept für eine ökologisch nachhaltige Energieversorgung.","Ulrike Flach","FDP","0",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",1431,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Meine Damen und Herren, wir brauchen ein geschlossenes
Konzept für eine preisgünstige Energieversorgung.","Ulrike Flach","FDP","0",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",59,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Jetzt wird deutlich, welch
hohe Profite sich die „armen Großkonzerne“ der Branche
jahrelang in die Tasche steckten.","Eva Bulling-Schröter","Die Linke","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",60,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wer Sonnen- oder Windenergie aus
der Steckdose zapfen, also Umweltzerstörung reduzieren
und nachfolgenden Generationen keine Hypotheken
hinterlassen will, wird mit deutlich höheren Energiepreisen
bestraft.","Eva Bulling-Schröter","Die Linke","0",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",61,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wer Sonnen- oder Windenergie aus
der Steckdose zapfen, also Umweltzerstörung reduzieren
und nachfolgenden Generationen keine Hypotheken
hinterlassen will, wird mit deutlich höheren Energiepreisen
bestraft.","Eva Bulling-Schröter","Die Linke","0",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",63,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Es ist ihnen ein leichtes, noch mehrere Monate Dumpingpreise
zu finanzieren, um kleinere Anbieter und
Stadtwerke aus dem Rennen zu werfen.","Eva Bulling-Schröter","Die Linke","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",73,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Sie haben sich ständig gegen die Internalisierung externer
Kosten gewandt, wir haben es gemacht und damit
die relativen Preise zugunsten der Energien, die wir fördern
wollen, deutlich verbessert","Ernst Schwanhold","SPD","0",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",78,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Sie haben im Rahmen Ihres Gesetzgebungsverfahrens
die ökologisch wichtige dezentrale Energieversorgung
akut gefährdet.","Ernst Schwanhold","SPD","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",80,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wir wollen nicht, daß andere den Markt über Exporte bedienen.
","Ernst Schwanhold","SPD","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"40",79,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wir wollen für Arbeitnehmerinnen und Arbeitnehmer
in diesem Land auch einen eigenen Produktionsstandort
erhalten.","Ernst Schwanhold","SPD","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41",81,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wir wollen für Arbeitnehmerinnen und Arbeitnehmer
in diesem Land auch einen eigenen Produktionsstandort
erhalten.","Ernst Schwanhold","SPD","0",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",1315,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Die zentrale Frage aber haben Sie in Ihrer Rede überhaupt
nicht angesprochen. Es ist die Frage: Wie können
wir langfristig unseren Energiebedarf decken?","Gunnar Uldall","CDUCSU","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"43",82,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Die Lücke, die durch die Abschaltung der Kraftwerke
entsteht, durch Stromeinsparung, Windräder oder Gaskraft
zu schließen wird sehr schwer möglich sein; das
muß man doch einräumen.","Gunnar Uldall","CDUCSU","0",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"44",1316,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Es stellt sich die Frage, wie wir den dann bestehenden
Energiebedarf – das Wachstum wird von Fachleuten auf
50 Prozent veranschlagt – langfristig decken wollen.","Gunnar Uldall","CDUCSU","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"45",1317,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Aber wir müssen ehrlicherweise auch erkennen, wo die
Grenzen dieser neuen Energieträger liegen.","Gunnar Uldall","CDUCSU","0",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"46",1437,1999-12-16,1,"Gesetz für den Vorrang Erneuerbarer Energien (Erneuerbare-Energien-Gesetz – EEG) sowie zur Änderung des Energiewirtschaftsgesetzes und des Mineralölsteuergesetzes (G-SIG: 14019287) - 1 Beratung","Wenn wir an Wettbewerbsfähigkeit verlieren, werden 150 000
Arbeitsplätze gefährdet.Das sind die volkswirtschaftlichen
Auswirkungen, mit denen wir rechnen
müssen, wenn wir kurzfristig aussteigen.","Gunnar Uldall","CDUCSU","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
